name	full_name	id	description	language	size	watchers	forks	stargazers_count
Branch-iOS-Invite-SDK	BranchMetrics/Branch-iOS-Invite-SDK	29659749	The purpose of the Branch iOS Invite SDK is to provide an out-of-the-box functional 'invite feature' for apps consuming the Branch SDK that want to utilize a standard invite feature in their app. Branch helps mobile apps grow with deep links that power referral systems, sharing links and invites with full attribution and analytics.	Objective-C	390	31	7	31
Titanium-Mobile-Reference-Directory-App	givp/Titanium-Mobile-Reference-Directory-App	772204	A sample Titanium project allowing developers to quickly build a reference directory mobile app	JavaScript	203	30	7	30
mobisplash	SamVerschueren/mobisplash	49019124	Mobile app splash screen generator	JavaScript	34	30	1	30
location-tracker-couchapp	cloudant-labs/location-tracker-couchapp	29685534	This tutorial shows how to build a mobile app in HTML5 and Javascript that records a device’s location and saves it to an IBM Cloudant database	CSS	5216	30	15	30
mobile-buy-sdk-android	Shopify/mobile-buy-sdk-android	43315252	Shopify’s Mobile Buy SDK makes it simple to sell physical products inside your mobile app. With a few lines of code, you can connect your app with the Shopify platform and let your users buy your products using their credit card.	Java	3284	30	23	30
OneSignal-Unity-SDK	OneSignal/OneSignal-Unity-SDK	33522199	OneSignal is a free push notification service for mobile apps. This plugin makes it easy to integrate your Unity app with OneSignal. https://onesignal.com	C#	242546	30	4	30
ionic2-tutorial-github	ashteya/ionic2-tutorial-github	52335557	:octocat: Tutorial: Build Your First Mobile App With Ionic 2 & Angular 2	JavaScript	1017	29	31	29
app-coffeecups	jamesmontemagno/app-coffeecups	50527117	Coffee Consumption App built with Xamarin.Forms and Azure Mobile Apps	C#	681	29	18	29
TiAlloyCharts	ricardoalcocer/TiAlloyCharts	12470194	Alloy Widget to add pretty charts to your mobile apps using HighCharts.js.  This is a WIP.  If you like it and use it, please send Pull Requests.	JavaScript	3676	29	15	29
conference-mobile-app	droidcon/conference-mobile-app	963360	An Android App adapted form the Google IO one for Droidcon. Issue tracker: https://novoda.lighthouseapp.com/projects/61492-droidcon-mobile-app/milestones/current	Java	10946	28	16	28
Wordpress-Mobile-Application	4013465w/Wordpress-Mobile-Application	54871244	为wordpress 博客开发移动应用（安卓/IOS）	HTML	4964	28	13	28
Simple-shopping-cart-for-Sencha-Touch-2	kostysh/Simple-shopping-cart-for-Sencha-Touch-2	4918494	Simple yet powerful script for adding shopping cart features to Sencha Touch based mobile apps.	JavaScript	6459	28	13	28
SwiftlySalesforce	mike4aday/SwiftlySalesforce	49215320	Swift, Salesforce, iOS, mobile: an easy-to-use framework for building native mobile apps with Swift & the Salesforce Platform	Swift	138	28	5	28
uMobile-app	Jasig/uMobile-app	2797632	uMobile Application	JavaScript	19423	27	19	27
Apps	ovatsus/Apps	9282984	Mobile Apps made with F#	C#	13365	27	10	27
TitaniumMobileHotshot	TheBrousse/TitaniumMobileHotshot	5747415	Creating Mobile Apps with Appcelerator Titanium	JavaScript	32086	27	20	27
remoteadmin-mobile	logicminds/remoteadmin-mobile	1873368	Mobile app that controls your puppet environment through foreman api	ActionScript	4024	27	0	27
sma	dealancer/sma	4183602	Social Mobile App	JavaScript	324	26	13	26
azure-mobile-apps-net-client	Azure/azure-mobile-apps-net-client	46075467	Managed Client SDK for Azure Mobile Apps	C#	5067	26	27	26
