name	full_name	id	description	language	size	watchers	forks	stargazers_count
gedit-plugin-reopen-tabs	disfated/gedit-plugin-reopen-tabs	1690519	Plugin for Gedit text editor that adds feature to restore recently opened tabs on Gedit startup	Python	747	3	0	3
atom-background-pic	sayanee/atom-background-pic	49054832	:camera: A new Flickr image every day in the background when there are no open editors for Atom Text Editor	CoffeeScript	1029	3	1	3
BIDE---Batch-Programming-IDE	shadestreak/BIDE---Batch-Programming-IDE	62306189	An text editor for batch programmers. This comes with some handy feratures which makes it usefull for batch programming	Java	10318	3	1	3
super-quick-notes	tilek/super-quick-notes	52640114	Chrome extension that tries to provide a quick access to a simple version of QuillJS text editor via Chrome New Tab page.	JavaScript	120	3	0	3
it-edit-2.91	mrcyberfighter/it-edit-2.91	63516332	It-Edit: an integrated terminal programming text-editor with many functionalities like a manpage reader, a documentation registering with direct accessing mechanism and many others settings and features.	C	1610	3	0	3
ffgrep	brucehart/ffgrep	15573492	ffgrep - A grep-like command line tool to search text files in a given directory and (optionally) open a text editor to the matching line.	Python	252	3	0	3
ied-go	alaroldai/ied-go	20445322	A second attempt at writing an IPC-based text editor. The core server is written in Go, clients may be written in platform-specific languages (e.g., Swift on Mac OS X)	Objective-C	308	3	0	3
brackets-delete-line-start-end	probertson/brackets-delete-line-start-end	10199690	Brackets extension that adds shortcuts for deleting from the current cursor location to the start or end of the line. These are common shortcuts (Cmd+Delete and Cmd+Backspace) in Mac code/text editors. 	JavaScript	117	3	1	3
BZQWikiMaker	BruceZCQ/BZQWikiMaker	9763600	the BZQWikiMaker is created by Cocoa. You can use the rich text editor edit the pages , and auto create the html pages, you can view the result in real time in your browser.	Objective-C	1020	3	0	3
CopyTo	pke/CopyTo	511251	Allows to copy content of text editors and other views to services like pastebin.com and placing the resulting link in the clipboard	Java	5212	3	1	3
redmine_jstoolbar_ext	tleish/redmine_jstoolbar_ext	20010169	The Redmine jsToolbar Extension is the base library for adding additional functionality to the [Redmine](http://www.redmine.org/) wiki and text editor toolbar. 	JavaScript	6	3	1	3
Whitelist-Validation	Atticuss/Whitelist-Validation	21171698	.NET (C#) class for input validation to help prevent XSS when rich text editors are needed. All credit to eksith (eksith.wordpress.com)	C#	151	3	2	3
sciai	xpansa/sciai	59571718	SciAI is an extension for the text editors like Google Docs to create structured semantic biomedical papers directly at the moment of writing	JavaScript	84	3	0	3
very_simple_cms	edikgat/very_simple_cms	12976913	Very-Simple-Cms is a lightweight Content Management System, written in Ruby using     the Ruby on Rails web framework. Very-Simple-Cms has the simplicity of a static site     generator, but (being a fully fledged Rack application) allows you to     serve dynamic content on demand.      Content is stored on disk in plain text files (there is no database).     Edit your content in a text editor and keep it under version control     (most people use git, but any version control system will do fine).	JavaScript	228	3	1	3
Text-Editor	Sm1996/Text-Editor	28764094	A java built text editor project	null	148	2	3	2
TextEditor	VikasLShetty/TextEditor	16129639	text editor using C	C	108	2	2	2
