,Dataset,n_clusters,NUM_TOPICS,max_df,min_df,precision,recall,f-score
77,showcase_noStem2,25.0,50.0,0.8,0.2,62.7,81.6,70.9
78,showcase_noStem2,25.0,50.0,0.8,0.3,62.8,85.4,72.4
79,showcase_noStem2,25.0,50.0,0.8,0.4,60.3,84.5,70.4
80,showcase_noStem2,30.0,50.0,0.5,0.1,67.1,85.4,75.1
81,showcase_noStem2,30.0,50.0,0.5,0.2,67.3,81.6,73.8
82,showcase_noStem2,30.0,50.0,0.5,0.3,64.1,86.4,73.6
83,showcase_noStem2,30.0,50.0,0.5,0.4,64.6,84.5,73.2
84,showcase_noStem2,30.0,50.0,0.6,0.1,64.4,84.5,73.1
85,showcase_noStem2,30.0,50.0,0.6,0.2,69.5,85.4,76.6
86,showcase_noStem2,30.0,50.0,0.6,0.3,71.1,87.4,78.4
87,showcase_noStem2,30.0,50.0,0.6,0.4,64.7,85.4,73.6
88,showcase_noStem2,30.0,50.0,0.7,0.1,64.6,89.3,75.0
89,showcase_noStem2,30.0,50.0,0.7,0.2,63.9,81.6,71.7
90,showcase_noStem2,30.0,50.0,0.7,0.3,64.0,82.5,72.1
91,showcase_noStem2,30.0,50.0,0.7,0.4,62.3,85.4,72.1
92,showcase_noStem2,30.0,50.0,0.8,0.1,61.8,80.6,70.0
93,showcase_noStem2,30.0,50.0,0.8,0.2,63.5,83.5,72.1
94,showcase_noStem2,30.0,50.0,0.8,0.3,64.2,88.3,74.4
95,showcase_noStem2,30.0,50.0,0.8,0.4,61.4,85.4,71.5
96,showcase_noStem2,35.0,50.0,0.5,0.1,71.3,89.3,79.3
97,showcase_noStem2,35.0,50.0,0.5,0.2,70.4,87.4,78.0
98,showcase_noStem2,35.0,50.0,0.5,0.3,61.5,83.5,70.8
99,showcase_noStem2,35.0,50.0,0.5,0.4,66.1,86.4,74.9
100,showcase_noStem2,35.0,50.0,0.6,0.1,64.2,83.5,72.6
101,showcase_noStem2,35.0,50.0,0.6,0.2,71.3,86.4,78.1
102,showcase_noStem2,35.0,50.0,0.6,0.3,68.0,85.4,75.7
103,showcase_noStem2,35.0,50.0,0.6,0.4,65.7,85.4,74.3
104,showcase_noStem2,35.0,50.0,0.7,0.1,68.2,91.3,78.1
105,showcase_noStem2,35.0,50.0,0.7,0.2,65.3,83.5,73.3
106,showcase_noStem2,35.0,50.0,0.7,0.3,64.7,84.5,73.3
107,showcase_noStem2,35.0,50.0,0.7,0.4,63.2,85.4,72.6
108,showcase_noStem2,35.0,50.0,0.8,0.1,62.8,81.6,70.9
109,showcase_noStem2,35.0,50.0,0.8,0.2,63.1,83.5,71.9
110,showcase_noStem2,35.0,50.0,0.8,0.3,68.0,92.2,78.3
111,showcase_noStem2,35.0,50.0,0.8,0.4,63.0,85.4,72.5
112,showcase_noStem2,40.0,50.0,0.5,0.1,74.3,91.3,81.9
113,showcase_noStem2,40.0,50.0,0.5,0.2,71.4,88.3,79.0
114,showcase_noStem2,40.0,50.0,0.5,0.3,66.0,88.3,75.6
115,showcase_noStem2,40.0,50.0,0.5,0.4,70.1,90.3,78.9
116,showcase_noStem2,40.0,50.0,0.6,0.1,67.1,87.4,75.9
117,showcase_noStem2,40.0,50.0,0.6,0.2,73.3,88.3,80.1
118,showcase_noStem2,40.0,50.0,0.6,0.3,71.9,89.3,79.7
119,showcase_noStem2,40.0,50.0,0.6,0.4,67.4,86.4,75.7
120,showcase_noStem2,40.0,50.0,0.7,0.1,68.2,91.3,78.1
121,showcase_noStem2,40.0,50.0,0.7,0.2,67.6,85.4,75.5
122,showcase_noStem2,40.0,50.0,0.7,0.3,68.3,89.3,77.4
123,showcase_noStem2,40.0,50.0,0.7,0.4,66.0,88.3,75.6
124,showcase_noStem2,40.0,50.0,0.8,0.1,64.4,85.4,73.4
125,showcase_noStem2,40.0,50.0,0.8,0.2,65.1,85.4,73.9
126,showcase_noStem2,40.0,50.0,0.8,0.3,68.3,92.2,78.5
127,showcase_noStem2,40.0,50.0,0.8,0.4,65.9,87.4,75.1
128,showcase_noStem2,45.0,50.0,0.5,0.1,74.3,91.3,81.9
129,showcase_noStem2,45.0,50.0,0.5,0.2,72.3,89.3,79.9
130,showcase_noStem2,45.0,50.0,0.5,0.3,66.0,88.3,75.6
131,showcase_noStem2,45.0,50.0,0.5,0.4,70.1,90.3,78.9
