,Dataset,n_clusters,NUM_TOPICS,max_df,min_df,precision,recall,f-score
756,showcase_noStem,40.0,50.0,0.6,0.05,0.7009708737864078,0.9029126213592233,0.7892287077740426
757,showcase_noStem,40.0,50.0,0.6,0.1,0.6309061488673141,0.7961165048543689,0.7039478971373592
758,showcase_noStem,40.0,50.0,0.6,0.2,0.685275080906149,0.8932038834951457,0.7755445303130584
760,showcase_noStem,40.0,50.0,0.7,0.05,0.7087378640776699,0.8640776699029126,0.778736665468057
761,showcase_noStem,40.0,50.0,0.7,0.1,0.6464401294498383,0.9223300970873787,0.7601255776924349
762,showcase_noStem,40.0,50.0,0.7,0.2,0.7101941747572816,0.8737864077669902,0.7835424545284136
764,showcase_noStem,40.0,50.0,0.8,0.05,0.691747572815534,0.9029126213592233,0.7833488495810614
765,showcase_noStem,40.0,50.0,0.8,0.1,0.6766990291262136,0.8932038834951457,0.7700223955425065
766,showcase_noStem,40.0,50.0,0.8,0.2,0.714239482200647,0.912621359223301,0.8013349273148299
785,showcase_noStem,40.0,70.0,0.5,0.1,0.6624595469255663,0.7961165048543689,0.7231641825768329
800,showcase_noStem,40.0,75.0,0.5,0.05,0.6516181229773463,0.8446601941747572,0.7356865149652315
801,showcase_noStem,40.0,75.0,0.5,0.1,0.6982200647249192,0.8155339805825242,0.7523311867907199
813,showcase_noStem,40.0,75.0,0.8,0.1,0.6812297734627831,0.8640776699029126,0.7618360189091647
814,showcase_noStem,40.0,75.0,0.8,0.2,0.6998381877022654,0.8446601941747572,0.7654594740295076
817,showcase_noStem,40.0,90.0,0.5,0.1,0.673462783171521,0.8155339805825242,0.7377205883904513
833,showcase_noStem,40.0,120.0,0.5,0.1,0.6626213592233008,0.8058252427184466,0.7272406322715237
848,showcase_noStem,40.0,125.0,0.5,0.05,0.6744336569579288,0.8155339805825242,0.7383027000582019
849,showcase_noStem,40.0,125.0,0.5,0.1,0.6723300970873787,0.7864077669902912,0.7249083243138458
861,showcase_noStem,40.0,125.0,0.8,0.1,0.6880258899676376,0.8640776699029126,0.7660671919155931
862,showcase_noStem,40.0,125.0,0.8,0.2,0.6912621359223301,0.8349514563106796,0.7563427950295215
864,showcase_noStem,40.0,150.0,0.5,0.05,0.6527508090614889,0.7961165048543689,0.7173406255489222
865,showcase_noStem,40.0,150.0,0.5,0.1,0.6762135922330098,0.7669902912621359,0.7187470405167543
928,showcase_noStem,50.0,50.0,0.5,0.05,0.6553398058252428,0.8252427184466019,0.7305427343625657
929,showcase_noStem,50.0,50.0,0.5,0.1,0.6723300970873787,0.8446601941747572,0.7487067961165048
930,showcase_noStem,50.0,50.0,0.5,0.2,0.6650485436893204,0.8543689320388349,0.7479140171841558
932,showcase_noStem,50.0,50.0,0.6,0.05,0.7009708737864078,0.9029126213592233,0.7892287077740426
933,showcase_noStem,50.0,50.0,0.6,0.1,0.6309061488673141,0.7961165048543689,0.7039478971373592
934,showcase_noStem,50.0,50.0,0.6,0.2,0.6755663430420713,0.8932038834951457,0.7692885432887537
936,showcase_noStem,50.0,50.0,0.7,0.05,0.7087378640776699,0.8640776699029126,0.778736665468057
937,showcase_noStem,50.0,50.0,0.7,0.1,0.6766990291262136,0.9223300970873787,0.780648546047241
938,showcase_noStem,50.0,50.0,0.7,0.2,0.7101941747572816,0.8737864077669902,0.7835424545284136
940,showcase_noStem,50.0,50.0,0.8,0.05,0.691747572815534,0.9029126213592233,0.7833488495810614
941,showcase_noStem,50.0,50.0,0.8,0.1,0.6766990291262136,0.8932038834951457,0.7700223955425065
942,showcase_noStem,50.0,50.0,0.8,0.2,0.714239482200647,0.912621359223301,0.8013349273148299
961,showcase_noStem,50.0,70.0,0.5,0.1,0.7087378640776699,0.8349514563106796,0.7666849850399952
976,showcase_noStem,50.0,75.0,0.5,0.05,0.6726537216828479,0.8640776699029126,0.756443271303866
977,showcase_noStem,50.0,75.0,0.5,0.1,0.7135922330097086,0.8349514563106796,0.7695163892016921
989,showcase_noStem,50.0,75.0,0.8,0.1,0.7241100323624595,0.9029126213592233,0.8036865202551019
990,showcase_noStem,50.0,75.0,0.8,0.2,0.7119741100323626,0.883495145631068,0.7885149372772211
993,showcase_noStem,50.0,90.0,0.5,0.1,0.6941747572815534,0.8446601941747572,0.7620593549967842
1009,showcase_noStem,50.0,120.0,0.5,0.1,0.7055016181229773,0.8155339805825242,0.756537905391448
1024,showcase_noStem,50.0,125.0,0.5,0.05,0.6456310679611651,0.7766990291262136,0.7051260810497366
1025,showcase_noStem,50.0,125.0,0.5,0.1,0.7572815533980581,0.8640776699029126,0.807162374280565
1037,showcase_noStem,50.0,125.0,0.8,0.1,0.7597087378640777,0.912621359223301,0.8291741231840152
1038,showcase_noStem,50.0,125.0,0.8,0.2,0.7006472491909386,0.8543689320388349,0.7699099845428002
1040,showcase_noStem,50.0,150.0,0.5,0.05,0.6689320388349516,0.8155339805825242,0.734993999504721
1041,showcase_noStem,50.0,150.0,0.5,0.1,0.6964401294498384,0.7864077669902912,0.7386946811711509
1137,showcase_noStem,60.0,70.0,0.5,0.1,0.7087378640776699,0.8349514563106796,0.7666849850399952
1152,showcase_noStem,60.0,75.0,0.5,0.05,0.6726537216828479,0.8640776699029126,0.756443271303866
1153,showcase_noStem,60.0,75.0,0.5,0.1,0.7135922330097086,0.8349514563106796,0.7695163892016921
1165,showcase_noStem,60.0,75.0,0.8,0.1,0.7241100323624595,0.9029126213592233,0.8036865202551019
1166,showcase_noStem,60.0,75.0,0.8,0.2,0.7119741100323626,0.883495145631068,0.7885149372772211
1169,showcase_noStem,60.0,90.0,0.5,0.1,0.7127831715210357,0.8640776699029126,0.7811723213796471
1185,showcase_noStem,60.0,120.0,0.5,0.1,0.7233009708737861,0.8349514563106796,0.7751262740828114
1200,showcase_noStem,60.0,125.0,0.5,0.05,0.6812297734627832,0.8155339805825242,0.7423563369194437
1201,showcase_noStem,60.0,125.0,0.5,0.1,0.7629449838187702,0.8737864077669902,0.8146125383334372
1213,showcase_noStem,60.0,125.0,0.8,0.1,0.7548543689320388,0.912621359223301,0.8262743601701502
1214,showcase_noStem,60.0,125.0,0.8,0.2,0.7006472491909386,0.8543689320388349,0.7699099845428002
1216,showcase_noStem,60.0,150.0,0.5,0.05,0.6807443365695793,0.8252427184466019,0.7460612692607402
1217,showcase_noStem,60.0,150.0,0.5,0.1,0.723948220064725,0.8155339805825242,0.7670168234446528
1313,showcase_noStem,70.0,70.0,0.5,0.1,0.7087378640776699,0.8349514563106796,0.7666849850399952
1328,showcase_noStem,70.0,75.0,0.5,0.05,0.6726537216828479,0.8640776699029126,0.756443271303866
1329,showcase_noStem,70.0,75.0,0.5,0.1,0.7135922330097086,0.8349514563106796,0.7695163892016921
1341,showcase_noStem,70.0,75.0,0.8,0.1,0.7241100323624595,0.9029126213592233,0.8036865202551019
1342,showcase_noStem,70.0,75.0,0.8,0.2,0.7119741100323626,0.883495145631068,0.7885149372772211
1345,showcase_noStem,70.0,90.0,0.5,0.1,0.7127831715210357,0.8640776699029126,0.7811723213796471
1361,showcase_noStem,70.0,120.0,0.5,0.1,0.7233009708737861,0.8349514563106796,0.7751262740828114
1376,showcase_noStem,70.0,125.0,0.5,0.05,0.6812297734627832,0.8155339805825242,0.7423563369194437
1377,showcase_noStem,70.0,125.0,0.5,0.1,0.7726537216828478,0.883495145631068,0.8243652799977235
1389,showcase_noStem,70.0,125.0,0.8,0.1,0.7548543689320388,0.912621359223301,0.8262743601701502
1390,showcase_noStem,70.0,125.0,0.8,0.2,0.7006472491909386,0.8543689320388349,0.7699099845428002
1392,showcase_noStem,70.0,150.0,0.5,0.05,0.6807443365695793,0.8252427184466019,0.7460612692607402
1393,showcase_noStem,70.0,150.0,0.5,0.1,0.7584142394822009,0.8349514563106796,0.7948446177979397
